,Batsmen,Country,Runs,OUT,Mins,Balls,4's,6's,SR,inn,opp,ground,date,Year,100's,50's,30's,Stadium,cont
0,AJ Finch,Australia,172,1,-,76,16,10,226.31,1,Zimbabwe,Harare,3-Jul-18,2018,1,1,1,Zimbabwe,Africa
1,AJ Finch,Australia,156,1,70,63,11,14,247.61,1,England,Southampton,29-Aug-13,2013,1,1,1,England,Europe
2,GJ Maxwell,Australia,145,0,-,65,14,9,223.07,1,Sri Lanka,Pallekele,6-Sep-16,2016,1,1,1,Sri Lanka,Asia
3,E Lewis,West Indies,125,0,-,62,6,12,201.61,2,India,Kingston,9-Jul-17,2017,1,1,1,West Indies,North America
4,SR Watson,Australia,124,0,86,71,10,6,174.64,1,India,Sydney,31-Jan-16,2016,1,1,1,Australia,Australia
5,BB McCullum,New Zealand,123,1,72,58,11,7,212.06,1,Bangladesh,Pallekele,21-Sep-12,2012,1,1,1,Sri Lanka,Asia
6,F du Plessis,South Africa,119,1,99,56,11,5,212.5,1,West Indies,Johannesburg,11-Jan-15,2015,1,1,1,South Africa,Africa
7,RG Sharma,INDIA,118,1,61,43,12,10,274.41,1,Sri Lanka,Indore,22-Dec-17,2017,1,1,1,India,Asia
8,RE Levi,South Africa,117,0,67,51,5,13,229.41,2,New Zealand,Hamilton,19-Feb-12,2012,1,1,1,New Zealand,Australia
9,CH Gayle,West Indies,117,1,75,57,7,10,205.26,1,South Africa,Johannesburg,11-Sep-07,2007,1,1,1,South Africa,Africa
10,BB McCullum,New Zealand,116,0,87,56,12,8,207.14,1,Australia,Christchurch,28-Feb-10,2010,1,1,1,New Zealand,Australia
11,AD Hales,England,116,0,97,64,11,6,181.25,2,Sri Lanka,Chattogram,27-Mar-14,2014,1,1,1,Bangladesh,Asia
12,MN van Wyk,South Africa,114,0,85,70,9,7,162.85,1,West Indies,Durban,14-Jan-15,2015,1,1,1,South Africa,Africa
13,GJ Maxwell,Australia,113,0,74,55,7,9,205.45,2,India,Bengaluru,27-Feb-19,2019,1,1,1,India,Asia
14,RG Sharma,INDIA,111,0,95,61,8,7,181.96,1,West Indies,Lucknow,6-Nov-18,2018,1,1,1,India,Asia
15,KL Rahul,INDIA,110,0,84,51,12,5,215.68,2,West Indies,Lauderhill,27-Aug-16,2016,1,1,1,United States of America,North America
16,C Munro,New Zealand,109,0,87,58,7,7,187.93,1,India,Rajkot,4-Nov-17,2017,1,1,1,India,Asia
17,RG Sharma,INDIA,106,1,79,66,12,5,160.6,1,South Africa,Dharamsala,2-Oct-15,2015,1,1,1,India,Asia
18,MJ Guptill,New Zealand,105,1,74,54,6,9,194.44,1,Australia,Auckland,16-Feb-18,2018,1,1,1,New Zealand,Australia
19,C Munro,New Zealand,104,1,88,53,3,10,196.22,1,West Indies,Mount Maunganui,3-Jan-18,2018,1,1,1,New Zealand,Australia
20,GJ Maxwell,Australia,103,0,89,58,10,4,177.58,2,England,Hobart,7-Feb-18,2018,1,1,1,Australia,Australia
21,DJ Malan,England,103,0,79,51,9,6,201.96,1,New Zealand,Napier,8-Nov-19,2019,1,1,1,New Zealand,Australia
22,MJ Guptill,New Zealand,101,0,89,69,9,6,146.37,2,South Africa,East London,23-Dec-12,2012,1,1,1,South Africa,Africa
23,DA Miller,South Africa,101,0,53,36,7,9,280.55,1,Bangladesh,Potchefstroom,29-Oct-17,2017,1,1,1,South Africa,Africa
24,KL Rahul,INDIA,101,0,-,54,10,5,187.03,2,England,Manchester,3-Jul-18,2018,1,1,1,England,Europe
25,SK Raina,INDIA,101,1,85,60,9,5,168.33,1,South Africa,Gros Islet,2-May-10,2010,1,1,1,West Indies,North America
26,C Munro,New Zealand,101,1,71,54,7,7,187.03,1,Bangladesh,Mount Maunganui,6-Jan-17,2017,1,1,1,New Zealand,Australia
27,CH Gayle,West Indies,100,0,94,48,5,11,208.33,2,England,Mumbai,16-Mar-16,2016,1,1,1,India,Asia
28,RG Sharma,INDIA,100,0,-,56,11,5,178.57,2,England,Bristol,8-Jul-18,2018,1,1,1,England,Europe
29,DA Warner,Australia,100,0,-,56,10,4,178.57,1,Sri Lanka,Adelaide,27-Oct-19,2019,1,1,1,Australia,Australia
30,E Lewis,West Indies,100,1,76,49,5,9,204.08,1,India,Lauderhill,27-Aug-16,2016,1,1,1,United States of America,North America
31,LJ Wright,England,99,0,83,55,8,6,180,1,Afghanistan,Colombo (RPS),21-Sep-12,2012,0,1,1,Sri Lanka,Asia
32,AD Hales,England,99,1,84,68,6,4,145.58,2,West Indies,Nottingham,24-Jun-12,2012,0,1,1,England,Europe
33,RT Ponting,Australia,98,0,62,55,8,5,178.18,1,New Zealand,Auckland,17-Feb-05,2005,0,1,1,New Zealand,Australia
34,CH Gayle,West Indies,98,1,88,66,5,7,148.48,1,India,Bridgetown,9-May-10,2010,0,1,1,West Indies,North America
35,HM Amla,South Africa,97,0,81,62,8,4,156.45,1,Australia,Cape Town,9-Mar-16,2016,0,1,1,South Africa,Africa
36,RG Sharma,INDIA,97,1,87,61,8,5,159.01,1,Ireland,Dublin (Malahide),27-Jun-18,2018,0,1,1,Ireland,Europe
37,JP Duminy,South Africa,96,0,73,54,10,4,177.77,1,Zimbabwe,Kimberley,10-Oct-10,2010,0,1,1,South Africa,Africa
38,DR Martyn,Australia,96,1,79,56,7,5,171.42,1,South Africa,Brisbane,9-Jan-06,2006,0,1,1,Australia,Australia
39,KS Williamson,New Zealand,95,1,68,48,8,6,197.91,2,India,Hamilton,29-Jan-20,2020,0,1,1,New Zealand,Australia
40,CJ Anderson,New Zealand,94,0,68,41,2,10,229.26,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,1,1,New Zealand,Australia
41,V Kohli,INDIA,94,0,-,50,6,6,188,2,West Indies,Hyderabad (Deccan),6-Dec-19,2019,0,1,1,India,Asia
42,LE Bosman,South Africa,94,1,81,45,5,9,208.88,1,England,Centurion,15-Nov-09,2009,0,1,1,South Africa,Africa
43,AD Hales,England,94,1,80,61,11,2,154.09,1,Australia,Chester-le-Street,31-Aug-13,2013,0,1,1,England,Europe
44,S Dhawan,INDIA,92,1,-,62,10,2,148.38,2,West Indies,Chennai,11-Nov-18,2018,0,1,1,India,Asia
45,MJ Guptill,New Zealand,91,0,74,54,5,6,168.51,2,Zimbabwe,Auckland,11-Feb-12,2012,0,1,1,New Zealand,Australia
46,LMP Simmons,West Indies,91,0,-,40,5,10,227.5,2,Ireland,Basseterre,19-Jan-20,2020,0,1,1,West Indies,North America
47,BB McCullum,New Zealand,91,1,67,55,11,3,165.45,1,India,Chennai,11-Sep-12,2012,0,1,1,India,Asia
48,E Lewis,West Indies,91,1,-,51,5,9,178.43,2,Pakistan,Port of Spain,1-Apr-17,2017,0,1,1,West Indies,North America
49,EJG Morgan,England,91,1,59,41,7,7,221.95,1,New Zealand,Napier,8-Nov-19,2019,0,1,1,New Zealand,Australia
50,KL Rahul,INDIA,91,1,-,56,9,4,162.5,1,West Indies,Mumbai,11-Dec-19,2019,0,1,1,India,Asia
51,HH Gibbs,South Africa,90,0,101,55,14,2,163.63,2,West Indies,Johannesburg,11-Sep-07,2007,0,1,1,South Africa,Africa
52,DA Warner,Australia,90,0,91,62,5,3,145.16,1,Sri Lanka,Sydney,26-Jan-13,2013,0,1,1,Australia,Australia
53,JE Root,England,90,0,77,49,13,1,183.67,2,Australia,Southampton,29-Aug-13,2013,0,1,1,England,Europe
54,V Kohli,INDIA,90,0,71,55,9,2,163.63,1,Australia,Adelaide,26-Jan-16,2016,0,1,1,Australia,Australia
55,CH Gayle,West Indies,90,1,63,41,9,7,219.51,2,South Africa,Johannesburg,11-Jan-15,2015,0,1,1,South Africa,Africa
56,SPD Smith,Australia,90,1,70,53,7,4,169.81,2,England,Cardiff,31-Aug-15,2015,0,1,1,England,Europe
57,S Dhawan,INDIA,90,1,-,49,6,6,183.67,1,Sri Lanka,Colombo (RPS),6-Mar-18,2018,0,1,1,Sri Lanka,Asia
58,GC Smith,South Africa,89,0,89,58,11,1,153.44,1,Australia,Johannesburg,24-Feb-06,2006,0,1,1,South Africa,Africa
59,JM Kemp,South Africa,89,0,68,56,6,6,158.92,2,New Zealand,Durban,19-Sep-07,2007,0,1,1,South Africa,Africa
60,V Kohli,INDIA,89,0,63,47,11,1,189.36,1,West Indies,Mumbai,31-Mar-16,2016,0,1,1,India,Asia
61,MN Samuels,West Indies,89,0,-,66,9,3,134.84,2,Afghanistan,Basseterre,5-Jun-17,2017,0,1,1,West Indies,North America
62,DA Warner,Australia,89,1,64,43,7,6,206.97,1,South Africa,Melbourne,11-Jan-09,2009,0,1,1,Australia,Australia
63,AJ Finch,Australia,89,1,71,52,14,1,171.15,1,India,Rajkot,10-Oct-13,2013,0,1,1,India,Asia
64,KL Rahul,INDIA,89,1,94,49,5,8,181.63,1,Sri Lanka,Indore,22-Dec-17,2017,0,1,1,India,Asia
65,RG Sharma,INDIA,89,1,-,61,5,5,145.9,1,Bangladesh,Colombo (RPS),14-Mar-18,2018,0,1,1,Sri Lanka,Asia
66,E Lewis,West Indies,89,1,-,36,6,8,247.22,1,Bangladesh,Dhaka,22-Dec-18,2018,0,1,1,Bangladesh,Asia
67,DJ Hussey,Australia,88,0,63,44,5,6,200,1,South Africa,Johannesburg,27-Mar-09,2009,0,1,1,South Africa,Africa
68,CH Gayle,West Indies,88,1,75,50,6,6,176,2,Australia,The Oval,6-Jun-09,2009,0,1,1,England,Europe
69,GC Smith,South Africa,88,1,66,44,8,6,200,1,England,Centurion,15-Nov-09,2009,0,1,1,South Africa,Africa
70,MJ Guptill,New Zealand,87,0,68,58,9,4,150,2,Pakistan,Hamilton,17-Jan-16,2016,0,1,1,New Zealand,Australia
71,SW Billings,England,87,1,-,47,10,3,185.1,1,West Indies,Basseterre,8-Mar-19,2019,0,1,1,West Indies,North America
72,JP Duminy,South Africa,86,0,57,43,10,3,200,1,New Zealand,Chattogram,24-Mar-14,2014,0,1,1,Bangladesh,Asia
73,A Symonds,Australia,85,0,64,46,7,3,184.78,1,New Zealand,Perth,11-Dec-07,2007,0,1,1,Australia,Australia
74,EJG Morgan,England,85,0,54,45,7,5,188.88,1,South Africa,Johannesburg,13-Nov-09,2009,0,1,1,South Africa,Africa
75,CL White,Australia,85,0,67,49,6,6,173.46,1,Sri Lanka,Bridgetown,9-May-10,2010,0,1,1,West Indies,North America
76,CH Gayle,West Indies,85,0,87,52,7,5,163.46,1,New Zealand,Lauderhill,30-Jun-12,2012,0,1,1,United States of America,North America
77,MN Samuels,West Indies,85,0,87,43,3,9,197.67,1,Bangladesh,Dhaka,10-Dec-12,2012,0,1,1,Bangladesh,Asia
78,MN Samuels,West Indies,85,0,92,66,9,2,128.78,2,England,Kolkata,3-Apr-16,2016,0,1,1,India,Asia
79,F du Plessis,South Africa,85,1,83,65,10,3,130.76,1,Sri Lanka,Hambantota,6-Aug-13,2013,0,1,1,Sri Lanka,Asia
80,HM Amla,South Africa,85,1,70,51,11,1,166.66,1,Bangladesh,Potchefstroom,29-Oct-17,2017,0,1,1,South Africa,Africa
81,RG Sharma,INDIA,85,1,-,43,6,6,197.67,2,Bangladesh,Rajkot,7-Nov-19,2019,0,1,1,India,Asia
82,ADS Fletcher,West Indies,84,0,73,64,6,5,131.25,2,Sri Lanka,Bengaluru,20-Mar-16,2016,0,1,1,India,Asia
83,J Charles,West Indies,84,1,77,56,10,3,150,1,England,Pallekele,27-Sep-12,2012,0,1,1,Sri Lanka,Asia
84,AJ Finch,Australia,84,1,-,41,7,6,204.87,2,England,Birmingham,27-Jun-18,2018,0,1,1,England,Europe
85,TL Seifert,New Zealand,84,1,54,43,7,6,195.34,1,India,Wellington,6-Feb-19,2019,0,1,1,New Zealand,Australia
86,RG Sharma,INDIA,83,1,90,55,7,3,150.9,1,Bangladesh,Dhaka,24-Feb-16,2016,0,1,1,Bangladesh,Asia
87,JE Root,England,83,1,70,44,6,4,188.63,2,South Africa,Mumbai,18-Mar-16,2016,0,1,1,India,Asia
88,CJ Anderson,New Zealand,82,0,58,42,6,4,195.23,1,Pakistan,Wellington,22-Jan-16,2016,0,1,1,New Zealand,Australia
89,V Kohli,INDIA,82,0,78,51,9,2,160.78,2,Australia,Mohali,27-Mar-16,2016,0,1,1,India,Asia
90,LMP Simmons,West Indies,82,0,80,51,7,5,160.78,2,India,Mumbai,31-Mar-16,2016,0,1,1,India,Asia
91,V Kohli,INDIA,82,1,-,54,7,1,151.85,2,Sri Lanka,Colombo (RPS),6-Sep-17,2017,0,1,1,Sri Lanka,Asia
92,BB McCullum,New Zealand,81,0,54,46,5,6,176.08,2,Zimbabwe,Harare,15-Oct-11,2011,0,1,1,Zimbabwe,Africa
93,SR Watson,Australia,81,1,62,49,7,4,165.3,1,Pakistan,Gros Islet,2-May-10,2010,0,1,1,West Indies,North America
94,AD Hales,England,80,0,50,42,9,4,190.47,2,New Zealand,Wellington,15-Feb-13,2013,0,1,1,New Zealand,Australia
95,EJG Morgan,England,80,0,75,46,4,6,173.91,1,New Zealand,Hamilton,18-Feb-18,2018,0,1,1,New Zealand,Australia
96,SPD Smith,Australia,80,0,-,51,11,1,156.86,2,Pakistan,Canberra,5-Nov-19,2019,0,1,1,Australia,Australia
97,MJ Guptill,New Zealand,80,1,61,48,10,3,166.66,1,Pakistan,Mohali,22-Mar-16,2016,0,1,1,India,Asia
98,RG Sharma,INDIA,80,1,85,55,6,4,145.45,1,New Zealand,Delhi,1-Nov-17,2017,0,1,1,India,Asia
99,S Dhawan,INDIA,80,1,68,52,10,2,153.84,1,New Zealand,Delhi,1-Nov-17,2017,0,1,1,India,Asia
100,AB de Villiers,South Africa,79,0,35,34,5,6,232.35,1,Scotland,The Oval,7-Jun-09,2009,0,1,1,England,Europe
101,RG Sharma,INDIA,79,0,65,46,4,6,171.73,2,Australia,Bridgetown,7-May-10,2010,0,1,1,West Indies,North America
102,F du Plessis,South Africa,79,0,88,61,8,0,129.5,1,Bangladesh,Dhaka,5-Jul-15,2015,0,1,1,Bangladesh,Asia
103,MK Pandey,INDIA,79,0,66,48,6,3,164.58,1,South Africa,Centurion,21-Feb-18,2018,0,1,1,South Africa,Africa
104,Q de Kock,South Africa,79,0,73,52,6,5,151.92,2,India,Bengaluru,22-Sep-19,2019,0,1,1,India,Asia
105,PD Collingwood,England,79,1,47,41,5,4,192.68,2,West Indies,The Oval,28-Jun-07,2007,0,1,1,England,Europe
106,KP Pietersen,England,79,1,41,37,7,4,213.51,1,Zimbabwe,Cape Town,13-Sep-07,2007,0,1,1,South Africa,Africa
107,F du Plessis,South Africa,79,1,80,41,5,5,192.68,1,Australia,Johannesburg,6-Mar-16,2016,0,1,1,South Africa,Africa
108,J Charles,West Indies,79,1,42,33,6,7,239.39,1,India,Lauderhill,27-Aug-16,2016,0,1,1,United States of America,North America
109,MJ Guptill,New Zealand,78,0,93,55,5,4,141.81,2,South Africa,Wellington,17-Feb-12,2012,0,1,1,New Zealand,Australia
110,V Kohli,INDIA,78,0,61,61,8,2,127.86,2,Pakistan,Colombo (RPS),30-Sep-12,2012,0,1,1,Sri Lanka,Asia
111,JP Duminy,South Africa,78,1,56,48,9,1,162.5,2,Australia,Melbourne,11-Jan-09,2009,0,1,1,Australia,Australia
112,RG Sharma,INDIA,71,1,-,34,6,5,208.82,1,West Indies,Mumbai,11-Dec-19,2019,0,1,1,India,Asia
113,CA Ingram,South Africa,78,1,59,50,8,3,156,1,India,Johannesburg,30-Mar-12,2012,0,1,1,South Africa,Africa
114,MN Samuels,West Indies,78,1,70,56,3,6,139.28,1,Sri Lanka,Colombo (RPS),7-Oct-12,2012,0,1,1,Sri Lanka,Asia
115,RR Rossouw,South Africa,78,1,60,50,7,3,156,2,Australia,Adelaide,5-Nov-14,2014,0,1,1,Australia,Australia
116,JJ Roy,England,78,1,50,44,11,2,177.27,2,New Zealand,Delhi,30-Mar-16,2016,0,1,1,India,Asia
117,DJ Malan,England,78,1,60,44,12,2,177.27,1,South Africa,Cardiff,25-Jun-17,2017,0,1,1,England,Europe
118,F du Plessis,South Africa,78,1,58,45,6,4,173.33,1,Pakistan,Cape Town,1-Feb-19,2019,0,1,1,South Africa,Africa
119,Yuvraj Singh,INDIA,77,0,57,35,8,5,220,2,Australia,Rajkot,10-Oct-13,2013,0,1,1,India,Asia
120,D Pretorius,South Africa,77,0,69,42,7,3,183.33,1,Sri Lanka,Johannesburg,24-Mar-19,2019,0,1,1,South Africa,Africa
121,JC Buttler,England,77,0,-,54,8,2,142.59,2,Australia,Southampton,6-Sep-20,2020,0,1,1,England,Europe
122,LMP Simmons,West Indies,77,1,59,50,12,1,154,2,South Africa,The Oval,13-Jun-09,2009,0,1,1,England,Europe
123,V Kohli,INDIA,77,1,75,58,5,4,132.75,1,Sri Lanka,Dhaka,6-Apr-14,2014,0,1,1,Bangladesh,Asia
124,CH Gayle,West Indies,77,1,44,31,5,8,248.38,2,South Africa,Cape Town,9-Jan-15,2015,0,1,1,South Africa,Africa
125,DA Warner,Australia,77,1,67,40,6,5,192.5,2,South Africa,Johannesburg,6-Mar-16,2016,0,1,1,South Africa,Africa
126,RT Ponting,Australia,76,1,79,53,13,0,143.39,1,India,Mumbai (BS),20-Oct-07,2007,0,1,1,India,Asia
127,LJ Wright,England,76,1,59,43,5,5,176.74,2,New Zealand,Pallekele,29-Sep-12,2012,0,1,1,Sri Lanka,Asia
128,C Munro,New Zealand,76,1,44,33,6,6,230.3,1,Australia,Auckland,16-Feb-18,2018,0,1,1,New Zealand,Australia
129,DJM Short,Australia,76,1,84,44,8,3,172.72,2,New Zealand,Auckland,16-Feb-18,2018,0,1,1,New Zealand,Australia
130,DJM Short,Australia,76,1,-,53,7,4,143.39,1,Pakistan,Harare,8-Jul-18,2018,0,1,1,Zimbabwe,Africa
131,S Dhawan,INDIA,76,1,-,42,10,2,180.95,2,Australia,Brisbane,21-Nov-18,2018,0,1,1,Australia,Australia
132,CH Gayle,West Indies,75,0,98,41,5,6,182.92,1,Australia,Colombo (RPS),5-Oct-12,2012,0,1,1,Sri Lanka,Asia
133,G Gambhir,INDIA,75,1,76,54,8,2,138.88,1,Pakistan,Johannesburg,24-Sep-07,2007,0,1,1,South Africa,Africa
134,CL White,Australia,75,1,57,43,6,4,174.41,1,England,Hobart,29-Jan-14,2014,0,1,1,Australia,Australia
135,GJ Maxwell,Australia,75,1,61,43,7,3,174.41,2,South Africa,Johannesburg,6-Mar-16,2016,0,1,1,South Africa,Africa
136,BB McCullum,New Zealand,74,1,56,38,6,5,194.73,1,England,Hamilton,12-Feb-13,2013,0,1,1,New Zealand,Australia
137,GJ Maxwell,Australia,74,1,48,33,7,6,224.24,2,Pakistan,Dhaka,23-Mar-14,2014,0,1,1,Bangladesh,Asia
138,EJG Morgan,England,74,1,50,39,3,7,189.74,1,Australia,Cardiff,31-Aug-15,2015,0,1,1,England,Europe
139,AJ Finch,Australia,74,1,69,48,8,2,154.16,2,India,Melbourne,29-Jan-16,2016,0,1,1,Australia,Australia
140,S Dhawan,INDIA,74,1,65,45,5,5,164.44,1,Ireland,Dublin (Malahide),27-Jun-18,2018,0,1,1,Ireland,Europe
141,RR Hendricks,South Africa,74,1,86,41,8,2,180.48,1,Pakistan,Cape Town,1-Feb-19,2019,0,1,1,South Africa,Africa
142,ML Hayden,Australia,73,0,51,48,9,3,152.08,2,Bangladesh,Cape Town,16-Sep-07,2007,0,1,1,South Africa,Africa
143,KP Pietersen,England,73,0,59,52,8,2,140.38,2,Pakistan,Bridgetown,6-May-10,2010,0,1,1,West Indies,North America
144,C Munro,New Zealand,73,0,50,39,3,5,187.17,1,Bangladesh,Dhaka,6-Nov-13,2013,0,1,1,Bangladesh,Asia
145,JC Buttler,England,73,0,-,49,3,4,148.97,2,Sri Lanka,Southampton,5-Jul-16,2016,0,1,1,England,Europe
146,KS Williamson,New Zealand,73,0,81,55,5,2,132.72,2,Bangladesh,Napier,3-Jan-17,2017,0,1,1,New Zealand,Australia
147,JH Kallis,South Africa,73,1,60,54,3,3,135.18,2,India,Gros Islet,2-May-10,2010,0,1,1,West Indies,North America
148,SK Raina,INDIA,72,0,59,44,6,2,163.63,2,Zimbabwe,Harare,13-Jun-10,2010,0,1,1,Zimbabwe,Africa
149,V Kohli,INDIA,72,0,67,44,5,2,163.63,2,South Africa,Dhaka,4-Apr-14,2014,0,1,1,Bangladesh,Asia
150,MM Ali,England,72,0,70,46,6,3,156.52,1,Australia,Cardiff,31-Aug-15,2015,0,1,1,England,Europe
151,KS Williamson,New Zealand,72,0,68,48,11,0,150,2,Pakistan,Hamilton,17-Jan-16,2016,0,1,1,New Zealand,Australia
152,V Kohli,INDIA,72,0,63,38,2,6,189.47,1,Australia,Bengaluru,27-Feb-19,2019,0,1,1,India,Asia
153,V Kohli,INDIA,72,0,66,52,4,3,138.46,2,South Africa,Mohali,18-Sep-19,2019,0,1,1,India,Asia
154,ME Trescothick,England,72,1,78,58,9,1,124.13,2,Sri Lanka,Southampton,15-Jun-06,2006,0,1,1,England,Europe
155,DA Warner,Australia,72,1,54,42,2,7,171.42,1,India,Bridgetown,7-May-10,2010,0,1,1,West Indies,North America
156,MS Wade,Australia,72,1,67,43,5,3,167.44,1,India,Sydney,1-Feb-12,2012,0,1,1,Australia,Australia
157,SR Watson,Australia,72,1,55,42,2,7,171.42,2,India,Colombo (RPS),28-Sep-12,2012,0,1,1,Sri Lanka,Asia
158,Yuvraj Singh,INDIA,72,1,59,36,4,7,200,1,Pakistan,Ahmedabad,28-Dec-12,2012,0,1,1,India,Asia
159,DR Smith,West Indies,72,1,49,43,10,3,167.44,1,Bangladesh,Dhaka,25-Mar-14,2014,0,1,1,Bangladesh,Asia
160,KS Williamson,New Zealand,72,1,65,46,4,4,156.52,1,England,Wellington,13-Feb-18,2018,0,1,1,New Zealand,Australia
161,S Dhawan,INDIA,72,1,69,39,10,2,184.61,1,South Africa,Johannesburg,18-Feb-18,2018,0,1,1,South Africa,Africa
162,C Munro,New Zealand,72,1,60,40,5,5,180,1,India,Hamilton,10-Feb-19,2019,0,1,1,New Zealand,Australia
163,GC Smith,South Africa,71,0,49,40,9,4,177.5,2,Pakistan,Johannesburg,2-Feb-07,2007,0,1,1,South Africa,Africa
164,EJG Morgan,England,71,0,46,36,4,5,197.22,2,West Indies,Pallekele,27-Sep-12,2012,0,1,1,Sri Lanka,Asia
165,LJ Wright,England,71,1,75,49,8,0,144.89,1,Netherlands,Lord's,5-Jun-09,2009,0,1,1,India,Asia
166,AJ Finch,Australia,71,1,62,45,7,4,157.77,2,Bangladesh,Dhaka,1-Apr-14,2014,0,1,1,Bangladesh,Asia
167,EJG Morgan,England,71,1,36,31,3,7,229.03,1,India,Birmingham,7-Sep-14,2014,0,1,1,England,Europe
168,AB de Villiers,South Africa,71,1,42,29,6,6,244.82,2,England,Johannesburg,21-Feb-16,2016,0,1,1,South Africa,Africa
169,KL Rahul,INDIA,71,1,75,47,6,2,151.06,1,England,Nagpur,29-Jan-17,2017,0,1,1,India,Asia
170,T Banton,England,71,1,-,42,4,5,169.04,1,Pakistan,Manchester,28-Aug-20,2020,0,1,1,England,Europe
171,V Kohli,INDIA,70,0,-,29,4,7,241.37,1,West Indies,Mumbai,11-Dec-19,2019,0,1,1,India,Asia
172,Yuvraj Singh,INDIA,70,1,38,30,5,5,233.33,1,Australia,Durban,22-Sep-07,2007,0,1,1,South Africa,Africa
173,DR Smith,West Indies,70,1,62,54,5,5,129.62,1,England,Nottingham,24-Jun-12,2012,0,1,1,England,Europe
174,V Kohli,INDIA,70,1,67,41,10,1,170.73,2,New Zealand,Chennai,11-Sep-12,2012,0,1,1,India,Asia
175,SR Watson,Australia,70,1,62,47,8,2,148.93,2,South Africa,Colombo (RPS),30-Sep-12,2012,0,1,1,Sri Lanka,Asia
176,KS Williamson,New Zealand,70,1,-,60,6,1,116.66,2,Pakistan,Auckland,15-Jan-16,2016,0,1,1,New Zealand,Australia
177,RR Hendricks,South Africa,70,1,79,50,8,1,140,2,India,Johannesburg,18-Feb-18,2018,0,1,1,South Africa,Africa
178,KL Rahul,INDIA,70,1,-,36,3,6,194.44,1,Ireland,Dublin (Malahide),29-Jun-18,2018,0,1,1,Ireland,Europe
179,JJ Roy,England,70,1,63,38,7,3,184.21,2,South Africa,East London,12-Feb-20,2020,0,1,1,South Africa,Africa
180,Q de Kock,South Africa,70,1,64,47,5,4,148.93,1,Australia,Port Elizabeth,23-Feb-20,2020,0,1,1,South Africa,Africa
181,JP Duminy,South Africa,69,0,55,41,7,2,168.29,1,Australia,Brisbane,13-Jan-09,2009,0,1,1,Australia,Australia
182,BB McCullum,New Zealand,69,0,94,55,8,1,125.45,2,India,Wellington,27-Feb-09,2009,0,1,1,New Zealand,Australia
183,MN Samuels,West Indies,69,0,59,46,10,1,150,1,England,Bridgetown,9-Mar-14,2014,0,1,1,West Indies,North America
184,AB de Villiers,South Africa,69,0,53,28,9,3,246.42,1,England,Chattogram,29-Mar-14,2014,0,1,1,Bangladesh,Asia
185,HM Amla,South Africa,69,0,62,38,8,3,181.57,2,England,Johannesburg,21-Feb-16,2016,0,1,1,South Africa,Africa
186,SR Watson,Australia,69,1,-,43,5,6,160.46,2,West Indies,Gros Islet,27-Mar-12,2012,0,1,1,West Indies,North America
187,LMP Simmons,West Indies,69,1,80,55,7,2,125.45,2,England,Bridgetown,13-Mar-14,2014,0,1,1,West Indies,North America
188,H Klaasen,South Africa,69,1,40,30,3,7,230,2,India,Centurion,21-Feb-18,2018,0,1,1,South Africa,Africa
189,SK Raina,INDIA,69,1,-,45,5,3,153.33,1,Ireland,Dublin (Malahide),29-Jun-18,2018,0,1,1,Ireland,Europe
190,JC Buttler,England,69,1,-,46,8,2,150,1,India,Manchester,3-Jul-18,2018,0,1,1,England,Europe
191,JJ Roy,England,69,1,-,36,4,6,191.66,1,Sri Lanka,Colombo (RPS),27-Oct-18,2018,0,1,1,Sri Lanka,Asia
192,JP Duminy,South Africa,68,0,59,34,1,7,200,2,India,Dharamsala,2-Oct-15,2015,0,1,1,India,Asia
193,AJ Finch,Australia,68,0,-,33,4,6,206.06,2,Pakistan,Harare,2-Jul-18,2018,0,1,1,Zimbabwe,Africa
194,DJM Short,Australia,68,0,-,53,8,0,128.3,2,U.A.E.,Tolerance Oval,22-Oct-18,2018,0,1,1,United Arab Emirates,Asia
195,V Sehwag,INDIA,68,1,59,52,4,3,130.76,1,England,Durban,19-Sep-07,2007,0,1,1,South Africa,Africa
196,V Kohli,INDIA,68,1,65,48,11,1,141.66,1,Sri Lanka,Pallekele,7-Aug-12,2012,0,1,1,Sri Lanka,Asia
197,AD Hales,England,68,1,80,51,5,2,133.33,2,West Indies,Pallekele,27-Sep-12,2012,0,1,1,Sri Lanka,Asia
198,H Davids,South Africa,68,1,67,51,7,2,133.33,1,New Zealand,Port Elizabeth,26-Dec-12,2012,0,1,1,South Africa,Africa
199,BB McCullum,New Zealand,68,1,71,48,7,2,141.66,1,England,The Oval,25-Jun-13,2013,0,1,1,England,Europe
200,JE Root,England,68,1,60,46,8,1,147.82,1,New Zealand,Manchester,23-Jun-15,2015,0,1,1,England,Europe
201,JM Bairstow,England,68,1,-,40,9,2,170,2,West Indies,Gros Islet,5-Mar-19,2019,0,1,1,West Indies,North America
202,E Lewis,West Indies,68,1,-,41,4,6,165.85,1,Afghanistan,Lucknow,14-Nov-19,2019,0,1,1,India,Asia
203,KA Pollard,West Indies,68,1,-,39,5,6,174.35,2,India,Mumbai,11-Dec-19,2019,0,1,1,India,Asia
204,ML Hayden,Australia,67,0,61,43,11,1,155.81,2,England,Cape Town,14-Sep-07,2007,0,1,1,South Africa,Africa
